raw_record_id,source_channel,title,doi,publication_year,authors,deduplication_status,merged_into_record_id,deduplication_reason
RAW_0040,Direct_Harvest,Development and validation of machine learning-based predictive clinical decision support system for olanzapine in patients with schizophrenia,https://doi.org/10.29090/psa.2024.04.24.ap0713,2024,"['Anh Mai Kieu', 'Ha Nguyet Dang', 'Khanh Thi Cat Tran', 'Tuyen Thi Thanh Nguyen', 'Chien Huu Nguyen', 'Thanh Chi Nguyen', 'Huong Pham', 'Jennifer Lê', 'Hai Thanh Nguyen']",UNIQUE,REC_DIR_0041,UNIQUE_RECORD_PASSED_TO_SCREENING
RAW_0041,Direct_Harvest,Toward Audio Beehive Monitoring Based on IoT-AI techniques: A Survey and Perspective,https://doi.org/10.31817/vjas.2020.3.1.06,2020,"['Nguyen Huu Du', 'Nguyen Doan Dong', 'Vu Thi Luu', 'Nguyễn Văn Hoàng', 'Phạm Hồng Thái', 'Ngoc T. Phan', 'Nguyen Viet Long', 'Thi-Thu-Hong Phan']",UNIQUE,REC_DIR_0042,UNIQUE_RECORD_PASSED_TO_SCREENING
RAW_0042,Direct_Harvest,LEGAL CHALLENGES IN THE ERA OF ARTIFICIAL INTELLIGENCE REGARDING PATIENTS' RIGHTS: LESSON FOR VIETNAMESE MEDICAL STUDENTS,https://doi.org/10.5281/zenodo.20007941,2026,['Nguyen Thi Phuong Cham and Ho Anh Tuan'],UNIQUE,REC_DIR_0043,UNIQUE_RECORD_PASSED_TO_SCREENING
RAW_0043,Direct_Harvest,Agentic AI Framework for Adaptive Clinical Workflow Orchestration,https://doi.org/10.1109/rivf68649.2025.11365087,2025,"['Quitt Le', 'Duc-Trong Le', 'Hoang D. Nguyen']",UNIQUE,REC_DIR_0045,UNIQUE_RECORD_PASSED_TO_SCREENING
RAW_0044,Direct_Harvest,Artificial Intelligence Integration in Medical Education: A Landscape with HOT Dimensions in Viet Nam,https://doi.org/10.1596/45024,2026,"['Sang Minh Le', 'Giang Bao Kim']",UNIQUE,REC_DIR_0046,UNIQUE_RECORD_PASSED_TO_SCREENING
RAW_0045,Direct_Harvest,Curious but Unprepared: Healthcare Students’ Perspectives on AI and Robotics in Care and the Need for Curriculum Reform,https://doi.org/10.3390/ime4030030,2025,"['Ngoc Bao Dang', 'Quang Ngoc Phan', 'Nam Hoang Tran']",UNIQUE,REC_DIR_0047,UNIQUE_RECORD_PASSED_TO_SCREENING
RAW_0046,Direct_Harvest,The United Nations Sustainable Development Goals,https://doi.org/10.1093/biosci/biz155,2020,['Myrna E. Watanabe'],UNIQUE,REC_DIR_0048,UNIQUE_RECORD_PASSED_TO_SCREENING
RAW_0047,Direct_Harvest,Application of Artificial Intelligence in the Healthcare Sector and Legal Challenges: A Study in Vietnam,https://doi.org/10.64753/jcasc.v10i2.1894,2025,['Nguyễn Thị Phương Châm'],UNIQUE,REC_DIR_0049,UNIQUE_RECORD_PASSED_TO_SCREENING
RAW_0048,Direct_Harvest,Large language models for self-administered conversational vignette assessment of provider competencies: A pilot and validation study in Vietnam with automated LLM-powered transcript classification,https://doi.org/10.64898/2026.03.02.26347479,2026,"['Benjamin Daniels', 'Wenjia(Stella) Zhang', 'Hoang Nguyen', 'David Duong']",UNIQUE,REC_DIR_0050,UNIQUE_RECORD_PASSED_TO_SCREENING
RAW_0049,Direct_Harvest,Digital Health Policy and Programs for Hospital Care in Vietnam: Scoping Review (Preprint),https://doi.org/10.2196/preprints.32392,2021,"['Duc Minh Tran', 'Louise Thwaites', 'Jennifer Ilo Van Nuil', 'Jacob McKnight', 'An Phuoc Luu', 'Chris Paton']",UNIQUE,REC_DIR_0051,UNIQUE_RECORD_PASSED_TO_SCREENING
RAW_0050,Direct_Harvest,From COVID-19 to Nipah virus preparedness in low- and middle-income countries: Re-centering points of decision and responsible AI,https://doi.org/10.4103/apjtm.apjtm_118_26,2026,"['Giao Huỳnh', 'Han Thi Ngoc Nguyen', 'Ly Trieu Vo', 'E. G. V. Evans', 'Nhut Minh Vuong', 'Pham Le An']",UNIQUE,REC_DIR_0052,UNIQUE_RECORD_PASSED_TO_SCREENING
RAW_0051,Direct_Harvest,A PROSPECTIVE CLINICAL STUDY ON THE USE OF A NON-INVASIVE WEARABLE DEVICE AND NEURAL NETWORK MODELS FOR PATIENTS WITH DENGUE,https://doi.org/10.1016/j.ijid.2023.04.017,2023,"['Štefan Karolčík', 'Vasileios Manginas', 'Chu Po Ho', 'John Daniels', 'Giang T. Nguyen', 'Hai Vu', 'Van‐Phuc Hoang', 'Katelynn Nguyen', 'Bernard Hernandez', 'Damien Ming', 'Alison Holmes', 'Louise Thwaites', 'Sophie Yacoub', 'Pantelis Georgiou']",UNIQUE,REC_DIR_0053,UNIQUE_RECORD_PASSED_TO_SCREENING
RAW_0052,Direct_Harvest,A Review of Earth Observation-Based Drought Studies in Southeast Asia,https://doi.org/10.3390/rs14153763,2022,"['Tuyen V. Ha', 'Juliane Huth', 'Felix Bachofer', 'Claudia Kuenzer']",UNIQUE,REC_DIR_0054,UNIQUE_RECORD_PASSED_TO_SCREENING
RAW_0053,Direct_Harvest,An integrated deep learning and large language model for automated knee osteoarthritis grading and reporting from the Vietnam Osteoporosis Study,https://doi.org/10.1016/j.afos.2026.05.003,2026,"['Dinh Tan Nguyen', 'Duy K. Hoang', 'Linh N. Luu', 'An T. Truong', 'Quang Hien Kha', 'Huy T. Tran', 'Phu D. Ho', 'Thach Tran', 'Sai Ho Ling', 'David J. Hunter', 'Lan T. Ho‐Pham', 'Tuan V. Nguyen']",UNIQUE,REC_DIR_0055,UNIQUE_RECORD_PASSED_TO_SCREENING
RAW_0054,Direct_Harvest,Quantifying mangrove leaf area index from Sentinel-2 imagery using hybrid models and active learning,https://doi.org/10.1080/01431161.2021.2024912,2022,"['Nguyễn An Bình', 'Leon T. Hauser', 'Pham Viet Hoa', 'Giang Thị Phương Thảo', 'Nguyen Ngoc An', 'Huynh Song Nhut', 'Tran Anh Phuong', 'Jochem Verrelst']",UNIQUE,REC_DIR_0056,UNIQUE_RECORD_PASSED_TO_SCREENING
RAW_0055,Direct_Harvest,Comparing Large Language Models and Traditional Machine Translation Tools for Translating Medical Consultation Summaries – A Pilot Feasibility Study (Preprint),https://doi.org/10.2196/preprints.85169,2025,"['Andy Li', 'Wei Zhou', 'Rashina Hoda', 'Chris Bain', 'Peter Poon']",UNIQUE,REC_DIR_0057,UNIQUE_RECORD_PASSED_TO_SCREENING
RAW_0056,Direct_Harvest,Classification of Tetanus Severity in Intensive-Care Settings for Low-Income Countries Using Wearable Sensing,https://doi.org/10.3390/s22176554,2022,"['Ping Lü', 'Shadi Ghiasi', 'Jannis Hagenah', 'Ho Bich Hai', 'Nguyễn Văn Hảo', 'Phan Nguyen Quoc Khanh', 'Le Dinh Van Khoa', 'Louise Thwaites', 'David A. Clifton', 'Tingting Zhu']",UNIQUE,REC_DIR_0058,UNIQUE_RECORD_PASSED_TO_SCREENING
RAW_0057,Direct_Harvest,A data-driven governance framework for co-creation healthcare quality in public hospitals,https://doi.org/10.1186/s12982-026-02342-x,2026,"['Huu Phuc Dang', 'Nguyen-Kim-Thao Vo']",UNIQUE,REC_DIR_0059,UNIQUE_RECORD_PASSED_TO_SCREENING
RAW_0058,Direct_Harvest,ViHERMES: A Graph-Grounded Multihop Question Answering Benchmark and System for Vietnamese Healthcare Regulations,https://doi.org/10.48550/arxiv.2602.07361,2026,"['Long Nguyen', 'Quan M. Bui', 'Tin Ngo', 'Quynh Vo', 'Dung N. H. Le', 'Tho Quan']",UNIQUE,REC_DIR_0060,UNIQUE_RECORD_PASSED_TO_SCREENING
RAW_0059,Direct_Harvest,Protecting the gains of malaria elimination in China,https://doi.org/10.1186/s40249-020-00661-y,2020,"['Xinyu Feng', 'Joshua Levens', 'Xiao‐Nong Zhou']",UNIQUE,REC_DIR_0062,UNIQUE_RECORD_PASSED_TO_SCREENING
RAW_0060,Direct_Harvest,Digital health technology adoption in five Vietnamese hospitals: a self-report assessment (Preprint),https://doi.org/10.2196/preprints.53483,2023,"['Duc Minh Tran', 'Nguyen Thanh Dung', 'Chau Minh Duc', 'Ngoc Huynh', 'Khoi M. Le', 'Nguyen Phuc Hau', 'Duong Thi Thu Huyen', 'Huynh Thi Le Thu', 'Tran Van Duc', 'Lam Minh Yen', 'Louise Thwaites', 'Chris Paton']",UNIQUE,REC_DIR_0063,UNIQUE_RECORD_PASSED_TO_SCREENING
RAW_0061,Direct_Harvest,Applying Machine Learning in assessing the health of the private economy in Vietnamese localities,https://doi.org/10.59276/jelb.2025.12.3032,2025,['Bích Ngọc Nguyễn'],UNIQUE,REC_DIR_0064,UNIQUE_RECORD_PASSED_TO_SCREENING
