record_id,channel,pmid,doi,openalex_id,title,year,authors,dedup_status,screening_status_round_1
REC_DIR_0047,Direct_Harvest,,https://doi.org/10.3390/ime4030030,,Curious but Unprepared: Healthcare Students’ Perspectives on AI and Robotics in Care and the Need for Curriculum Reform,2025,"['Ngoc Bao Dang', 'Quang Ngoc Phan', 'Nam Hoang Tran']",UNIQUE,PENDING_HUMAN_REVIEW
REC_DIR_0048,Direct_Harvest,,https://doi.org/10.1093/biosci/biz155,,The United Nations Sustainable Development Goals,2020,['Myrna E. Watanabe'],UNIQUE,PENDING_HUMAN_REVIEW
REC_DIR_0049,Direct_Harvest,,https://doi.org/10.64753/jcasc.v10i2.1894,,Application of Artificial Intelligence in the Healthcare Sector and Legal Challenges: A Study in Vietnam,2025,['Nguyễn Thị Phương Châm'],UNIQUE,PENDING_HUMAN_REVIEW
REC_DIR_0050,Direct_Harvest,,https://doi.org/10.64898/2026.03.02.26347479,,Large language models for self-administered conversational vignette assessment of provider competencies: A pilot and validation study in Vietnam with automated LLM-powered transcript classification,2026,"['Benjamin Daniels', 'Wenjia(Stella) Zhang', 'Hoang Nguyen', 'David Duong']",UNIQUE,PENDING_HUMAN_REVIEW
REC_DIR_0051,Direct_Harvest,,https://doi.org/10.2196/preprints.32392,,Digital Health Policy and Programs for Hospital Care in Vietnam: Scoping Review (Preprint),2021,"['Duc Minh Tran', 'Louise Thwaites', 'Jennifer Ilo Van Nuil', 'Jacob McKnight', 'An Phuoc Luu', 'Chris Paton']",UNIQUE,PENDING_HUMAN_REVIEW
REC_DIR_0052,Direct_Harvest,,https://doi.org/10.4103/apjtm.apjtm_118_26,,From COVID-19 to Nipah virus preparedness in low- and middle-income countries: Re-centering points of decision and responsible AI,2026,"['Giao Huỳnh', 'Han Thi Ngoc Nguyen', 'Ly Trieu Vo', 'E. G. V. Evans', 'Nhut Minh Vuong', 'Pham Le An']",UNIQUE,PENDING_HUMAN_REVIEW
REC_DIR_0053,Direct_Harvest,,https://doi.org/10.1016/j.ijid.2023.04.017,,A PROSPECTIVE CLINICAL STUDY ON THE USE OF A NON-INVASIVE WEARABLE DEVICE AND NEURAL NETWORK MODELS FOR PATIENTS WITH DENGUE,2023,"['Štefan Karolčík', 'Vasileios Manginas', 'Chu Po Ho', 'John Daniels', 'Giang T. Nguyen', 'Hai Vu', 'Van‐Phuc Hoang', 'Katelynn Nguyen', 'Bernard Hernandez', 'Damien Ming', 'Alison Holmes', 'Louise Thwaites', 'Sophie Yacoub', 'Pantelis Georgiou']",UNIQUE,PENDING_HUMAN_REVIEW
REC_DIR_0054,Direct_Harvest,,https://doi.org/10.3390/rs14153763,,A Review of Earth Observation-Based Drought Studies in Southeast Asia,2022,"['Tuyen V. Ha', 'Juliane Huth', 'Felix Bachofer', 'Claudia Kuenzer']",UNIQUE,PENDING_HUMAN_REVIEW
REC_DIR_0055,Direct_Harvest,,https://doi.org/10.1016/j.afos.2026.05.003,,An integrated deep learning and large language model for automated knee osteoarthritis grading and reporting from the Vietnam Osteoporosis Study,2026,"['Dinh Tan Nguyen', 'Duy K. Hoang', 'Linh N. Luu', 'An T. Truong', 'Quang Hien Kha', 'Huy T. Tran', 'Phu D. Ho', 'Thach Tran', 'Sai Ho Ling', 'David J. Hunter', 'Lan T. Ho‐Pham', 'Tuan V. Nguyen']",UNIQUE,PENDING_HUMAN_REVIEW
REC_DIR_0056,Direct_Harvest,,https://doi.org/10.1080/01431161.2021.2024912,,Quantifying mangrove leaf area index from Sentinel-2 imagery using hybrid models and active learning,2022,"['Nguyễn An Bình', 'Leon T. Hauser', 'Pham Viet Hoa', 'Giang Thị Phương Thảo', 'Nguyen Ngoc An', 'Huynh Song Nhut', 'Tran Anh Phuong', 'Jochem Verrelst']",UNIQUE,PENDING_HUMAN_REVIEW
REC_DIR_0057,Direct_Harvest,,https://doi.org/10.2196/preprints.85169,,Comparing Large Language Models and Traditional Machine Translation Tools for Translating Medical Consultation Summaries – A Pilot Feasibility Study (Preprint),2025,"['Andy Li', 'Wei Zhou', 'Rashina Hoda', 'Chris Bain', 'Peter Poon']",UNIQUE,PENDING_HUMAN_REVIEW
REC_DIR_0058,Direct_Harvest,,https://doi.org/10.3390/s22176554,,Classification of Tetanus Severity in Intensive-Care Settings for Low-Income Countries Using Wearable Sensing,2022,"['Ping Lü', 'Shadi Ghiasi', 'Jannis Hagenah', 'Ho Bich Hai', 'Nguyễn Văn Hảo', 'Phan Nguyen Quoc Khanh', 'Le Dinh Van Khoa', 'Louise Thwaites', 'David A. Clifton', 'Tingting Zhu']",UNIQUE,PENDING_HUMAN_REVIEW
REC_DIR_0059,Direct_Harvest,,https://doi.org/10.1186/s12982-026-02342-x,,A data-driven governance framework for co-creation healthcare quality in public hospitals,2026,"['Huu Phuc Dang', 'Nguyen-Kim-Thao Vo']",UNIQUE,PENDING_HUMAN_REVIEW
REC_DIR_0060,Direct_Harvest,,https://doi.org/10.48550/arxiv.2602.07361,,ViHERMES: A Graph-Grounded Multihop Question Answering Benchmark and System for Vietnamese Healthcare Regulations,2026,"['Long Nguyen', 'Quan M. Bui', 'Tin Ngo', 'Quynh Vo', 'Dung N. H. Le', 'Tho Quan']",UNIQUE,PENDING_HUMAN_REVIEW
REC_DIR_0062,Direct_Harvest,,https://doi.org/10.1186/s40249-020-00661-y,,Protecting the gains of malaria elimination in China,2020,"['Xinyu Feng', 'Joshua Levens', 'Xiao‐Nong Zhou']",UNIQUE,PENDING_HUMAN_REVIEW
REC_DIR_0063,Direct_Harvest,,https://doi.org/10.2196/preprints.53483,,Digital health technology adoption in five Vietnamese hospitals: a self-report assessment (Preprint),2023,"['Duc Minh Tran', 'Nguyen Thanh Dung', 'Chau Minh Duc', 'Ngoc Huynh', 'Khoi M. Le', 'Nguyen Phuc Hau', 'Duong Thi Thu Huyen', 'Huynh Thi Le Thu', 'Tran Van Duc', 'Lam Minh Yen', 'Louise Thwaites', 'Chris Paton']",UNIQUE,PENDING_HUMAN_REVIEW
REC_DIR_0064,Direct_Harvest,,https://doi.org/10.59276/jelb.2025.12.3032,,Applying Machine Learning in assessing the health of the private economy in Vietnamese localities,2025,['Bích Ngọc Nguyễn'],UNIQUE,PENDING_HUMAN_REVIEW
REC_DIR_0065,Direct_Harvest,,https://doi.org/10.70675/96bb05faz4257z4660zb2f8z7e1ba70e98d0,,"Contributions to Monitoring, Anomaly Detection and Classification Using Artificial Intelligence and Statistical Methods : Applications in Smart Manufacturing and Healthcare",2025,['Kim Duc Tran'],UNIQUE,PENDING_HUMAN_REVIEW
REC_DIR_0066,Direct_Harvest,,https://doi.org/10.1186/s12882-026-05114-6,,Validation of online clearance monitoring and machine learning-based prediction of dialysis adequacy in Vietnamese hemodialysis patients: a cross-sectional study,2026,"['Xuan Chanh Tran', 'Tuan Anh Pham', 'Thinh Chi Phan', 'Anh Thuy Tram Nguyen', 'Huy Quoc Tran', 'Thanh Kien Lam']",UNIQUE,PENDING_HUMAN_REVIEW
REC_DIR_0067,Direct_Harvest,,https://doi.org/10.3390/methane4040028,,AI-Driven Methane Emission Prediction in Rice Paddies: A Machine Learning and Explainability Framework,2025,"['Abira Sengupta', 'Fathima Nuzla Ismail', 'Shanika Amarasoma']",UNIQUE,PENDING_HUMAN_REVIEW
REC_DIR_0068,Direct_Harvest,,https://doi.org/10.1111/bioe.13252,,IAB 16th World Congress,2023,"['Voo Teck Chuan', 'Tenzin Wangmo', 'Bernice S. Elger']",UNIQUE,PENDING_HUMAN_REVIEW
REC_DIR_0069,Direct_Harvest,,https://doi.org/10.62985/j.huit_ojs.vol25.nos2_ica.214,,ADVANCING SUSTAINABLE AGRICULTURE IN VIETNAM THROUGH BIOTECHNOLOGY AND ARTIFICIAL INTELLIGENCE,2025,['Phan Thi Thanh Huyen'],UNIQUE,PENDING_HUMAN_REVIEW
REC_DIR_0070,Direct_Harvest,,https://doi.org/10.5281/zenodo.19372022,,Comprehensive Overview of Artificial Intelligence Applications in Biomedical Research and Precision Medicine (2024–2026),2026,['Fahim Halim Khan'],UNIQUE,PENDING_HUMAN_REVIEW
