record_id,title,disagreement_type,dao_trung_thanh_decision,dao_trung_thanh_reason,loc_dang_decision,loc_dang_reason,pi_decision,pi_exclusion_reason,pi_notes,pi_date
CANON-00312,Real-time Speech Summarization for Medical Conversations,DISAGREEMENT_DECISION,INCLUDE,,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,ràn soát toàn văn/abstract theo locator 2026-08-02,2026-08-02
CANON-00313,Sentiment Reasoning for Healthcare,DISAGREEMENT_EXCLUDE_REASON,EXCLUDE,EX01_NOT_VIETNAM,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,EXCLUDE,EX01_NOT_VIETNAM,ràn soát toàn văn/abstract theo locator 2026-08-02,2026-08-02
CANON-00314,"Application of machine learning models to predict the relationship between air pollution, ecosystem degradation, and health disparities and lung cancer in Vietnam",DISAGREEMENT_DECISION,INCLUDE,,EXCLUDE,EX02_NOT_HEALTHCARE,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,ràn soát toàn văn/abstract theo locator 2026-08-02,2026-08-02
CANON-00315,Comparing Large Language Models and Traditional Machine Translation Tools for Translating Medical Consultation Summaries: A Pilot Study,DISAGREEMENT_DECISION,INCLUDE,,EXCLUDE,EX07_DUPLICATE_NO_NEW_DATA,EXCLUDE,EX07_DUPLICATE_NO_NEW_DATA,ràn soát toàn văn/abstract theo locator 2026-08-02,2026-08-02
CANON-00317,ViHERMES: A Graph-Grounded Multihop Question Answering Benchmark and System for Vietnamese Healthcare Regulations,DISAGREEMENT_DECISION,INCLUDE,,EXCLUDE,EX07_DUPLICATE_NO_NEW_DATA,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,ràn soát toàn văn/abstract theo locator 2026-08-02,2026-08-02
CANON-00319,Toward Pre-Deployment Assurance for Enterprise AI Agents: Ontology-Grounded Simulation and Trust Certification,DISAGREEMENT_DECISION,INCLUDE,,EXCLUDE,EX07_DUPLICATE_NO_NEW_DATA,INCLUDE,,ràn soát toàn văn/abstract theo locator 2026-08-02,2026-08-02
CANON-00320,Neurai-VN Benchmark: Standardized Machine Learning Models for Multimodal Digital Phenotyping in Mental Health Classification,DISAGREEMENT_DECISION,INCLUDE,,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,ràn soát toàn văn/abstract theo locator 2026-08-02,2026-08-02
CANON-00324,APPLICATION OF ARTIFICIAL INTELLIGENCE TO DEVELOP A MODEL FOR IDENTIFYING MANIA BASED ON VOICE: PRELIMINARY RESULTS,DISAGREEMENT_DECISION,INCLUDE,,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,ràn soát toàn văn/abstract theo locator 2026-08-02,2026-08-02
CANON-00344,Cost-Aware Distillation of a Commercial First-Trimester Preeclampsia Screening Engine in Northern Vietnam: Tiered Feature Sets and Explain Ability,DISAGREEMENT_DECISION,INCLUDE,,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,ràn soát toàn văn/abstract theo locator 2026-08-02,2026-08-02
CANON-00357,Assessment of Artificial Intelligence-based Translation Tools for Emergency Department Discharge Instructions.,DISAGREEMENT_DECISION,INCLUDE,,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,EXCLUDE,EX01_NOT_VIETNAM,ràn soát toàn văn/abstract theo locator 2026-08-02,2026-08-02
CANON-00358,Primary School Teachers’ Intention to Adopt AI in Sexual and Reproductive Health Education: An Extended Technology Scceptance Model,DISAGREEMENT_EXCLUDE_REASON,EXCLUDE,EX02_NOT_HEALTHCARE,EXCLUDE,EX01_NOT_VIETNAM,EXCLUDE,EX02_NOT_HEALTHCARE,ràn soát toàn văn/abstract theo locator 2026-08-02,2026-08-02
CANON-00360,Bibliometric Analysis of Human‑Centered AI Research in Southeast Asia (2015–2025),DISAGREEMENT_DECISION,INCLUDE,,EXCLUDE,EX01_NOT_VIETNAM,EXCLUDE,EX01_NOT_VIETNAM,ràn soát toàn văn/abstract theo locator 2026-08-02,2026-08-02
CANON-00365,Machine learning models for predicting hospital readmission due to cardiovascular diseases among the elderly: a scoping review,DISAGREEMENT_DECISION,INCLUDE,,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,ràn soát toàn văn/abstract theo locator 2026-08-02,2026-08-02
CANON-00372,BỆNH VIỆN THỐNG NHẤT – HÀNH TRÌNH PHÁT TRIỂN VÀ ĐỊNH HƯỚNG TRỞ THÀNH TRUNG TÂM LÃO KHOA KỸ THUẬT CAO HÀNG ĐẦU VIỆT NAM,DISAGREEMENT_EXCLUDE_REASON,EXCLUDE,EX05_WRONG_SOURCE_TYPE,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,EXCLUDE,EX05_WRONG_SOURCE_TYPE,ràn soát toàn văn/abstract theo locator 2026-08-02,2026-08-02
CANON-00375,Large language models for self-administered conversational vignette assessment of provider competencies: A pilot and validation study in Vietnam with automated LLM-powered transcript classification,DISAGREEMENT_DECISION,INCLUDE,,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,ràn soát toàn văn/abstract theo locator 2026-08-02,2026-08-02
CANON-00378,"Contributions to Monitoring, Anomaly Detection and Classification Using Artificial Intelligence and Statistical Methods : Applications in Smart Manufacturing and Healthcare",DISAGREEMENT_EXCLUDE_REASON,EXCLUDE,EX01_NOT_VIETNAM,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,EXCLUDE,EX01_NOT_VIETNAM,ràn soát toàn văn/abstract theo locator 2026-08-02,2026-08-02
