record_id,source_type,dao_trung_thanh_decision,loc_dang_decision,agreement_status,next_workflow_status,adjudication_status,dao_file_sha256,loc_file_sha256,adjudicated_decision,adjudication_reason,adjudicator
CANON-00023,ACADEMIC_STUDY,EXCLUDE,EXCLUDE,AGREED_EXCLUDE,TITLE_ABSTRACT_EXCLUDE_AGREED,NO_ADJUDICATION_REQUIRED,adb127e9fac328946d9cac5a2479f17f0ecab0b03b6d0dbcab7e6d0f398252a3,3252babc45529bffff1c4562e453cd03455838dae1cbdecd79a409b451c69430,EXCLUDE,AGREED_EXCLUSION_TITLE_ABSTRACT,N/A
CANON-00024,ACADEMIC_STUDY,EXCLUDE,EXCLUDE,AGREED_EXCLUDE,TITLE_ABSTRACT_EXCLUDE_AGREED,NO_ADJUDICATION_REQUIRED,adb127e9fac328946d9cac5a2479f17f0ecab0b03b6d0dbcab7e6d0f398252a3,3252babc45529bffff1c4562e453cd03455838dae1cbdecd79a409b451c69430,EXCLUDE,AGREED_EXCLUSION_TITLE_ABSTRACT,N/A
CANON-00025,ACADEMIC_STUDY,EXCLUDE,EXCLUDE,AGREED_EXCLUDE,TITLE_ABSTRACT_EXCLUDE_AGREED,NO_ADJUDICATION_REQUIRED,adb127e9fac328946d9cac5a2479f17f0ecab0b03b6d0dbcab7e6d0f398252a3,3252babc45529bffff1c4562e453cd03455838dae1cbdecd79a409b451c69430,EXCLUDE,AGREED_EXCLUSION_TITLE_ABSTRACT,N/A
CANON-00026,ACADEMIC_STUDY,EXCLUDE,EXCLUDE,AGREED_EXCLUDE,TITLE_ABSTRACT_EXCLUDE_AGREED,NO_ADJUDICATION_REQUIRED,adb127e9fac328946d9cac5a2479f17f0ecab0b03b6d0dbcab7e6d0f398252a3,3252babc45529bffff1c4562e453cd03455838dae1cbdecd79a409b451c69430,EXCLUDE,AGREED_EXCLUSION_TITLE_ABSTRACT,N/A
CANON-00027,ACADEMIC_STUDY,EXCLUDE,EXCLUDE,AGREED_EXCLUDE,TITLE_ABSTRACT_EXCLUDE_AGREED,NO_ADJUDICATION_REQUIRED,adb127e9fac328946d9cac5a2479f17f0ecab0b03b6d0dbcab7e6d0f398252a3,3252babc45529bffff1c4562e453cd03455838dae1cbdecd79a409b451c69430,EXCLUDE,AGREED_EXCLUSION_TITLE_ABSTRACT,N/A
CANON-00028,ACADEMIC_STUDY,UNCERTAIN,UNCERTAIN,AGREED_ADVANCE,ADVANCE_TO_FULL_TEXT_DUAL_SCREENING,NO_ADJUDICATION_REQUIRED,adb127e9fac328946d9cac5a2479f17f0ecab0b03b6d0dbcab7e6d0f398252a3,3252babc45529bffff1c4562e453cd03455838dae1cbdecd79a409b451c69430,ADVANCE_TO_FULL_TEXT,AGREED_ADVANCE_TITLE_ABSTRACT,N/A
CANON-00029,ACADEMIC_STUDY,EXCLUDE,EXCLUDE,AGREED_EXCLUDE,TITLE_ABSTRACT_EXCLUDE_AGREED,NO_ADJUDICATION_REQUIRED,adb127e9fac328946d9cac5a2479f17f0ecab0b03b6d0dbcab7e6d0f398252a3,3252babc45529bffff1c4562e453cd03455838dae1cbdecd79a409b451c69430,EXCLUDE,AGREED_EXCLUSION_TITLE_ABSTRACT,N/A
CANON-00030,ACADEMIC_STUDY,EXCLUDE,EXCLUDE,AGREED_EXCLUDE,TITLE_ABSTRACT_EXCLUDE_AGREED,NO_ADJUDICATION_REQUIRED,adb127e9fac328946d9cac5a2479f17f0ecab0b03b6d0dbcab7e6d0f398252a3,3252babc45529bffff1c4562e453cd03455838dae1cbdecd79a409b451c69430,EXCLUDE,AGREED_EXCLUSION_TITLE_ABSTRACT,N/A
CANON-00031,ACADEMIC_STUDY,EXCLUDE,EXCLUDE,AGREED_EXCLUDE,TITLE_ABSTRACT_EXCLUDE_AGREED,NO_ADJUDICATION_REQUIRED,adb127e9fac328946d9cac5a2479f17f0ecab0b03b6d0dbcab7e6d0f398252a3,3252babc45529bffff1c4562e453cd03455838dae1cbdecd79a409b451c69430,EXCLUDE,AGREED_EXCLUSION_TITLE_ABSTRACT,N/A
CANON-00032,ACADEMIC_STUDY,EXCLUDE,EXCLUDE,AGREED_EXCLUDE,TITLE_ABSTRACT_EXCLUDE_AGREED,NO_ADJUDICATION_REQUIRED,adb127e9fac328946d9cac5a2479f17f0ecab0b03b6d0dbcab7e6d0f398252a3,3252babc45529bffff1c4562e453cd03455838dae1cbdecd79a409b451c69430,EXCLUDE,AGREED_EXCLUSION_TITLE_ABSTRACT,N/A
CANON-00033,ACADEMIC_STUDY,EXCLUDE,EXCLUDE,AGREED_EXCLUDE,TITLE_ABSTRACT_EXCLUDE_AGREED,NO_ADJUDICATION_REQUIRED,adb127e9fac328946d9cac5a2479f17f0ecab0b03b6d0dbcab7e6d0f398252a3,3252babc45529bffff1c4562e453cd03455838dae1cbdecd79a409b451c69430,EXCLUDE,AGREED_EXCLUSION_TITLE_ABSTRACT,N/A
CANON-00034,ACADEMIC_STUDY,EXCLUDE,EXCLUDE,AGREED_EXCLUDE,TITLE_ABSTRACT_EXCLUDE_AGREED,NO_ADJUDICATION_REQUIRED,adb127e9fac328946d9cac5a2479f17f0ecab0b03b6d0dbcab7e6d0f398252a3,3252babc45529bffff1c4562e453cd03455838dae1cbdecd79a409b451c69430,EXCLUDE,AGREED_EXCLUSION_TITLE_ABSTRACT,N/A
CANON-00035,ACADEMIC_STUDY,EXCLUDE,EXCLUDE,AGREED_EXCLUDE,TITLE_ABSTRACT_EXCLUDE_AGREED,NO_ADJUDICATION_REQUIRED,adb127e9fac328946d9cac5a2479f17f0ecab0b03b6d0dbcab7e6d0f398252a3,3252babc45529bffff1c4562e453cd03455838dae1cbdecd79a409b451c69430,EXCLUDE,AGREED_EXCLUSION_TITLE_ABSTRACT,N/A
CANON-00036,ACADEMIC_STUDY,EXCLUDE,EXCLUDE,AGREED_EXCLUDE,TITLE_ABSTRACT_EXCLUDE_AGREED,NO_ADJUDICATION_REQUIRED,adb127e9fac328946d9cac5a2479f17f0ecab0b03b6d0dbcab7e6d0f398252a3,3252babc45529bffff1c4562e453cd03455838dae1cbdecd79a409b451c69430,EXCLUDE,AGREED_EXCLUSION_TITLE_ABSTRACT,N/A
CANON-00037,ACADEMIC_STUDY,EXCLUDE,EXCLUDE,AGREED_EXCLUDE,TITLE_ABSTRACT_EXCLUDE_AGREED,NO_ADJUDICATION_REQUIRED,adb127e9fac328946d9cac5a2479f17f0ecab0b03b6d0dbcab7e6d0f398252a3,3252babc45529bffff1c4562e453cd03455838dae1cbdecd79a409b451c69430,EXCLUDE,AGREED_EXCLUSION_TITLE_ABSTRACT,N/A
CANON-00038,ACADEMIC_STUDY,INCLUDE,INCLUDE,AGREED_ADVANCE,ADVANCE_TO_FULL_TEXT_DUAL_SCREENING,NO_ADJUDICATION_REQUIRED,adb127e9fac328946d9cac5a2479f17f0ecab0b03b6d0dbcab7e6d0f398252a3,3252babc45529bffff1c4562e453cd03455838dae1cbdecd79a409b451c69430,ADVANCE_TO_FULL_TEXT,AGREED_ADVANCE_TITLE_ABSTRACT,N/A
CANON-00039,ACADEMIC_STUDY,UNCERTAIN,UNCERTAIN,AGREED_ADVANCE,ADVANCE_TO_FULL_TEXT_DUAL_SCREENING,NO_ADJUDICATION_REQUIRED,adb127e9fac328946d9cac5a2479f17f0ecab0b03b6d0dbcab7e6d0f398252a3,3252babc45529bffff1c4562e453cd03455838dae1cbdecd79a409b451c69430,ADVANCE_TO_FULL_TEXT,AGREED_ADVANCE_TITLE_ABSTRACT,N/A
CANON-00040,ACADEMIC_STUDY,INCLUDE,INCLUDE,AGREED_ADVANCE,ADVANCE_TO_FULL_TEXT_DUAL_SCREENING,NO_ADJUDICATION_REQUIRED,adb127e9fac328946d9cac5a2479f17f0ecab0b03b6d0dbcab7e6d0f398252a3,3252babc45529bffff1c4562e453cd03455838dae1cbdecd79a409b451c69430,ADVANCE_TO_FULL_TEXT,AGREED_ADVANCE_TITLE_ABSTRACT,N/A
