record_id,dao_trung_thanh_decision,dao_trung_thanh_reason,loc_dang_decision,loc_dang_reason,agreement_status,adjudication_status,next_workflow_status,dao_file_sha256,loc_file_sha256,adjudicated_decision,adjudication_reason,adjudicator
CANON-00315,INCLUDE,,EXCLUDE,EX07_DUPLICATE_NO_NEW_DATA,DISAGREEMENT_DECISION,PENDING_PI_ADJUDICATION,PENDING_PI_ADJUDICATION,9ee07596d5f93373f363fee4960beeab8bce93558b98a847ea1e0744525c2828,94df1846e2bdd53feed710de3d43a1464d747e12a45e0c06759f51cbbdf0b38b,EXCLUDE,EX07_DUPLICATE_NO_NEW_DATA,DAO_TRUNG_THANH
CANON-00317,INCLUDE,,EXCLUDE,EX07_DUPLICATE_NO_NEW_DATA,DISAGREEMENT_DECISION,PENDING_PI_ADJUDICATION,PENDING_PI_ADJUDICATION,9ee07596d5f93373f363fee4960beeab8bce93558b98a847ea1e0744525c2828,94df1846e2bdd53feed710de3d43a1464d747e12a45e0c06759f51cbbdf0b38b,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,DAO_TRUNG_THANH
CANON-00319,INCLUDE,,EXCLUDE,EX07_DUPLICATE_NO_NEW_DATA,DISAGREEMENT_DECISION,PENDING_PI_ADJUDICATION,PENDING_PI_ADJUDICATION,9ee07596d5f93373f363fee4960beeab8bce93558b98a847ea1e0744525c2828,94df1846e2bdd53feed710de3d43a1464d747e12a45e0c06759f51cbbdf0b38b,INCLUDE,,DAO_TRUNG_THANH
CANON-00320,INCLUDE,,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,DISAGREEMENT_DECISION,PENDING_PI_ADJUDICATION,PENDING_PI_ADJUDICATION,9ee07596d5f93373f363fee4960beeab8bce93558b98a847ea1e0744525c2828,94df1846e2bdd53feed710de3d43a1464d747e12a45e0c06759f51cbbdf0b38b,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,DAO_TRUNG_THANH
CANON-00321,EXCLUDE,EX03_NO_AI,EXCLUDE,EX03_NO_AI,AGREED_EXCLUDE,NONE_REQUIRED,EXCLUDED_EX03_NO_AI,9ee07596d5f93373f363fee4960beeab8bce93558b98a847ea1e0744525c2828,94df1846e2bdd53feed710de3d43a1464d747e12a45e0c06759f51cbbdf0b38b,,,
CANON-00322,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,AGREED_EXCLUDE,NONE_REQUIRED,EXCLUDED_EX04_NO_ETHICS_GOVERNANCE,9ee07596d5f93373f363fee4960beeab8bce93558b98a847ea1e0744525c2828,94df1846e2bdd53feed710de3d43a1464d747e12a45e0c06759f51cbbdf0b38b,,,
CANON-00324,INCLUDE,,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,DISAGREEMENT_DECISION,PENDING_PI_ADJUDICATION,PENDING_PI_ADJUDICATION,9ee07596d5f93373f363fee4960beeab8bce93558b98a847ea1e0744525c2828,94df1846e2bdd53feed710de3d43a1464d747e12a45e0c06759f51cbbdf0b38b,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,DAO_TRUNG_THANH
CANON-00335,INCLUDE,,INCLUDE,,AGREED_INCLUDE,NONE_REQUIRED,ACCEPTED_INCLUDE,9ee07596d5f93373f363fee4960beeab8bce93558b98a847ea1e0744525c2828,94df1846e2bdd53feed710de3d43a1464d747e12a45e0c06759f51cbbdf0b38b,,,
CANON-00336,EXCLUDE,EX07_DUPLICATE_NO_NEW_DATA,EXCLUDE,EX07_DUPLICATE_NO_NEW_DATA,AGREED_EXCLUDE,NONE_REQUIRED,EXCLUDED_EX07_DUPLICATE_NO_NEW_DATA,9ee07596d5f93373f363fee4960beeab8bce93558b98a847ea1e0744525c2828,94df1846e2bdd53feed710de3d43a1464d747e12a45e0c06759f51cbbdf0b38b,,,
CANON-00344,INCLUDE,,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,DISAGREEMENT_DECISION,PENDING_PI_ADJUDICATION,PENDING_PI_ADJUDICATION,9ee07596d5f93373f363fee4960beeab8bce93558b98a847ea1e0744525c2828,94df1846e2bdd53feed710de3d43a1464d747e12a45e0c06759f51cbbdf0b38b,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,DAO_TRUNG_THANH
CANON-00356,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,AGREED_EXCLUDE,NONE_REQUIRED,EXCLUDED_EX04_NO_ETHICS_GOVERNANCE,9ee07596d5f93373f363fee4960beeab8bce93558b98a847ea1e0744525c2828,94df1846e2bdd53feed710de3d43a1464d747e12a45e0c06759f51cbbdf0b38b,,,
CANON-00357,INCLUDE,,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,DISAGREEMENT_DECISION,PENDING_PI_ADJUDICATION,PENDING_PI_ADJUDICATION,9ee07596d5f93373f363fee4960beeab8bce93558b98a847ea1e0744525c2828,94df1846e2bdd53feed710de3d43a1464d747e12a45e0c06759f51cbbdf0b38b,EXCLUDE,EX01_NOT_VIETNAM,DAO_TRUNG_THANH
CANON-00358,EXCLUDE,EX02_NOT_HEALTHCARE,EXCLUDE,EX01_NOT_VIETNAM,DISAGREEMENT_EXCLUDE_REASON,PENDING_PI_ADJUDICATION,PENDING_PI_ADJUDICATION,9ee07596d5f93373f363fee4960beeab8bce93558b98a847ea1e0744525c2828,94df1846e2bdd53feed710de3d43a1464d747e12a45e0c06759f51cbbdf0b38b,EXCLUDE,EX02_NOT_HEALTHCARE,DAO_TRUNG_THANH
CANON-00359,INCLUDE,,INCLUDE,,AGREED_INCLUDE,NONE_REQUIRED,ACCEPTED_INCLUDE,9ee07596d5f93373f363fee4960beeab8bce93558b98a847ea1e0744525c2828,94df1846e2bdd53feed710de3d43a1464d747e12a45e0c06759f51cbbdf0b38b,,,
CANON-00360,INCLUDE,,EXCLUDE,EX01_NOT_VIETNAM,DISAGREEMENT_DECISION,PENDING_PI_ADJUDICATION,PENDING_PI_ADJUDICATION,9ee07596d5f93373f363fee4960beeab8bce93558b98a847ea1e0744525c2828,94df1846e2bdd53feed710de3d43a1464d747e12a45e0c06759f51cbbdf0b38b,EXCLUDE,EX01_NOT_VIETNAM,DAO_TRUNG_THANH
CANON-00365,INCLUDE,,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,DISAGREEMENT_DECISION,PENDING_PI_ADJUDICATION,PENDING_PI_ADJUDICATION,9ee07596d5f93373f363fee4960beeab8bce93558b98a847ea1e0744525c2828,94df1846e2bdd53feed710de3d43a1464d747e12a45e0c06759f51cbbdf0b38b,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,DAO_TRUNG_THANH
CANON-00366,EXCLUDE,EX07_DUPLICATE_NO_NEW_DATA,EXCLUDE,EX07_DUPLICATE_NO_NEW_DATA,AGREED_EXCLUDE,NONE_REQUIRED,EXCLUDED_EX07_DUPLICATE_NO_NEW_DATA,9ee07596d5f93373f363fee4960beeab8bce93558b98a847ea1e0744525c2828,94df1846e2bdd53feed710de3d43a1464d747e12a45e0c06759f51cbbdf0b38b,,,
CANON-00367,EXCLUDE,EX07_DUPLICATE_NO_NEW_DATA,EXCLUDE,EX07_DUPLICATE_NO_NEW_DATA,AGREED_EXCLUDE,NONE_REQUIRED,EXCLUDED_EX07_DUPLICATE_NO_NEW_DATA,9ee07596d5f93373f363fee4960beeab8bce93558b98a847ea1e0744525c2828,94df1846e2bdd53feed710de3d43a1464d747e12a45e0c06759f51cbbdf0b38b,,,
CANON-00370,INCLUDE,,INCLUDE,,AGREED_INCLUDE,NONE_REQUIRED,ACCEPTED_INCLUDE,9ee07596d5f93373f363fee4960beeab8bce93558b98a847ea1e0744525c2828,94df1846e2bdd53feed710de3d43a1464d747e12a45e0c06759f51cbbdf0b38b,,,
