slot_id,domain,query_id,target_url,http_status,error_summary,raw_body_file,raw_body_sha256,retried_attempts,terminal_condition
SENTINEL-04,bachmai.gov.vn,DQ-IMPL-01,https://bachmai.gov.vn/,200,OK,raw-artifacts\SENTINEL-04-b1cc808f.body,3FB61C3444C3BB2E2202AF5A8B57BE5D80D47B2064E67C3868E83A0586D3D505,3,HTTP_RESPONSE_CAPTURED
SENTINEL-04,bachmai.gov.vn,DQ-IMPL-02,https://bachmai.gov.vn/,200,OK,raw-artifacts\SENTINEL-04-80cf21e0.body,A587F9E12E442AFD6957EE3172EF148EF5FBCA433A36DFA1794877E01A4A4943,3,HTTP_RESPONSE_CAPTURED
SENTINEL-04,bvtwhue.com.vn,DQ-IMPL-01,https://bvtwhue.com.vn/,200,OK,raw-artifacts\SENTINEL-04-b8825ea6.body,601605A043F7755866FEC60F3483D2418D40309817E3E30C6F8E7E902E34C621,3,HTTP_RESPONSE_CAPTURED
SENTINEL-04,bvtwhue.com.vn,DQ-IMPL-02,https://bvtwhue.com.vn/,200,OK,raw-artifacts\SENTINEL-04-5e529426.body,601605A043F7755866FEC60F3483D2418D40309817E3E30C6F8E7E902E34C621,3,HTTP_RESPONSE_CAPTURED
SENTINEL-04,choray.vn,DQ-IMPL-01,https://choray.vn/,0,URLError,raw-artifacts\SENTINEL-04-ec62deca.body,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,3,HTTP_RESPONSE_CAPTURED
SENTINEL-04,choray.vn,DQ-IMPL-02,https://choray.vn/,0,URLError,raw-artifacts\SENTINEL-04-fae1f08b.body,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,3,HTTP_RESPONSE_CAPTURED
SENTINEL-05,vinmec.com,DQ-IMPL-01,https://vinmec.com/,200,OK,raw-artifacts\SENTINEL-05-0256713b.body,FFF27B7987B5CEB10D064D09AD5FA4019BE8A98AB896F02A75F7251A4DDC808B,3,HTTP_RESPONSE_CAPTURED
SENTINEL-05,vinmec.com,DQ-IMPL-02,https://vinmec.com/,200,OK,raw-artifacts\SENTINEL-05-c8aaf8e8.body,FFF27B7987B5CEB10D064D09AD5FA4019BE8A98AB896F02A75F7251A4DDC808B,3,HTTP_RESPONSE_CAPTURED
SENTINEL-05,tamanhhospital.vn,DQ-IMPL-01,https://tamanhhospital.vn/,200,OK,raw-artifacts\SENTINEL-05-c71f7d77.body,7FCC89F3A4D208C970F40E048F52BE3B40A922BC6A0F6741E85FE1A48D4414CB,3,HTTP_RESPONSE_CAPTURED
SENTINEL-05,tamanhhospital.vn,DQ-IMPL-02,https://tamanhhospital.vn/,200,OK,raw-artifacts\SENTINEL-05-5838d62d.body,7FCC89F3A4D208C970F40E048F52BE3B40A922BC6A0F6741E85FE1A48D4414CB,3,HTTP_RESPONSE_CAPTURED
SENTINEL-05,umc.edu.vn,DQ-IMPL-01,https://umc.edu.vn/,400,HTTPError 400,raw-artifacts\SENTINEL-05-3f14fa9e.body,11817D8DE31DFA9C918DF2E6BE30A8ECD778B72362F65825B29DC0E0C617DB35,3,HTTP_RESPONSE_CAPTURED
SENTINEL-05,umc.edu.vn,DQ-IMPL-02,https://umc.edu.vn/,400,HTTPError 400,raw-artifacts\SENTINEL-05-136ac2bd.body,11817D8DE31DFA9C918DF2E6BE30A8ECD778B72362F65825B29DC0E0C617DB35,3,HTTP_RESPONSE_CAPTURED
